Team,ERA,Wins,WHIP
ANA,4.67,73,1.413
KCA,5.42,56,1.448
TBA,3.91,98,1.197
CLE,4.11,76,1.324
SEA,4.1,88,1.238
MIA,4.07,84,1.254
SLN,5.18,71,1.5
BAL,3.81,101,1.232
BOS,4.46,78,1.324
ARI,4.55,84,1.324
MIL,3.67,92,1.189
SDN,3.93,82,1.299
NYA,4.01,82,1.247
CHA,4.88,61,1.442
ATL,4.02,104,1.29
COL,5.56,59,1.532
TEX,4.15,90,1.258
MIN,3.97,87,1.216
OAK,5.38,50,1.489
NYN,4.33,75,1.382
LAN,4.32,100,1.217
SFN,4.05,79,1.249
HOU,3.98,90,1.297
PIT,4.69,76,1.368
CHN,4.1,83,1.287
CIN,4.74,82,1.414
DET,4.23,78,1.242
PHI,3.98,90,1.237
WAS,5.08,71,1.474
TOR,3.82,89,1.258
