Gameid,Home,Visitor,Date,Home Wins,Visitor Wins,Home Losses,Visitor Losses,Home Total Runs Difference,OBP Difference,AVG Difference,SLG Difference,OPS Difference,ISO Difference,Hits Difference,Strikeouts Difference,Walks Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Home Win
20230415MIAARI,MIA,ARI,20230415,7,8,7,6,-21.0,-0.05399999999999999,-0.08200000000000002,-0.133,-0.18699999999999994,-0.05099999999999999,-29,24,8,0.0,-2.457,4.9,-2.8999999999999995,0,-16.0,1,1
20230415SDNMIL,SDN,MIL,20230415,7,10,8,4,-36.0,-0.034999999999999976,-0.025999999999999995,-0.035999999999999976,-0.07000000000000006,-0.009999999999999981,-1,-5,-2,-0.6699999999999999,-0.07799999999999985,-2.0,-1.7000000000000002,-3,-42.0,-2,1
20230415SLNPIT,SLN,PIT,20230415,6,8,8,6,6.0,0.04199999999999998,0.030000000000000027,-0.0010000000000000009,0.040000000000000036,-0.031000000000000028,18,16,4,-0.4299999999999997,-0.5190000000000001,4.300000000000001,-2.5,-2,2.0,0,0
20230415WASCLE,WAS,CLE,20230415,4,8,10,6,-11.0,-0.01200000000000001,0.006000000000000005,-0.01599999999999996,-0.028000000000000025,-0.021999999999999964,17,17,-8,0.9000000000000004,1.0499999999999998,-1.6000000000000005,1.4,-2,-16.0,-1,0
20230415CHABAL,CHA,BAL,20230415,5,8,9,6,-19.0,-0.0050000000000000044,0.014000000000000012,0.064,0.05899999999999994,0.04999999999999999,-18,-22,-19,-3.53,-1.2100000000000004,2.799999999999999,3.2,-3,-24.0,-1,1
20230415KCAATL,KCA,ATL,20230415,4,10,10,4,-11.0,-0.02699999999999997,-0.028999999999999998,-0.08800000000000002,-0.1160000000000001,-0.059000000000000025,-14,0,-15,-1.64,0.27300000000000013,0.7999999999999989,-2.2,-4,-38.0,-1,0
20230415NYAMIN,NYA,MIN,20230415,8,10,6,4,3.0,0.0040000000000000036,-0.0030000000000000027,0.07100000000000001,0.07500000000000007,0.07400000000000001,4,11,9,-1.7800000000000002,-0.2109999999999994,-1.1999999999999993,4.300000000000001,-1,-7.0,-2,1
20230415OAKNYN,OAK,NYN,20230415,3,8,11,6,-40.0,-0.006000000000000005,0.06199999999999997,0.09100000000000003,0.08400000000000007,0.029000000000000054,6,16,-37,-6.119999999999999,-0.8650000000000002,1.5,2.1000000000000005,-3,-71.0,-1,0
20230415SEACOL,SEA,COL,20230415,6,5,8,9,8.0,-0.02100000000000002,-0.03799999999999998,-0.06,-0.08100000000000007,-0.02200000000000002,-4,10,9,3.09,1.2279999999999998,-1.5000000000000009,-6.5,2,19.0,1,1
20230415TORTBA,TOR,TBA,20230415,9,13,5,1,-50.0,0.01200000000000001,0.01699999999999996,-0.03799999999999998,-0.025999999999999912,-0.05499999999999994,43,18,9,-2.5,-0.6669999999999998,2.0,0.5,-1,-64.0,1,1
20230416CINPHI,CIN,PHI,20230416,6,5,8,10,2.0,-0.029000000000000026,-0.038000000000000006,-0.059,-0.08699999999999997,-0.02099999999999999,-37,-39,1,0.04999999999999982,-0.8319999999999999,-5.800000000000001,3.2,-1,33.0,0,0
20230416MIAARI,MIA,ARI,20230416,8,8,7,7,-20.0,-0.03999999999999998,-0.033999999999999975,-0.024999999999999967,-0.06400000000000006,0.009000000000000008,21,40,9,-1.1100000000000003,0.09999999999999964,-5.6000000000000005,0.2999999999999998,1,-14.0,2,0
20230416SDNMIL,SDN,MIL,20230416,8,10,8,5,-29.0,-0.024999999999999967,-0.02100000000000002,-0.039000000000000035,-0.06499999999999995,-0.018000000000000016,0,-13,-3,-2.3199999999999994,-0.16199999999999992,1.5,1.5,-1,-28.0,-1,0
20230416SLNPIT,SLN,PIT,20230416,6,9,9,6,3.0,0.125,0.08300000000000002,0.07799999999999996,0.20300000000000007,-0.00500000000000006,43,25,15,-6.41,-2.7169999999999996,-2.0,-2.3000000000000003,-2,-4.0,-1,1
20230416WASCLE,WAS,CLE,20230416,4,9,11,6,-13.0,0.01799999999999996,0.05399999999999999,0.04299999999999998,0.062000000000000055,-0.01100000000000001,19,6,-21,-5.38,-3.6350000000000002,-0.7000000000000002,2.0,-2,-20.0,-2,1
20230416BOSANA,BOS,ANA,20230416,7,7,8,7,-2.0,-0.027000000000000024,-0.04000000000000001,-0.07600000000000001,-0.10299999999999998,-0.036000000000000004,-6,-14,-4,-3.42,-0.45699999999999985,-2.1999999999999993,-4.7,1,-10.0,2,1
20230416CHABAL,CHA,BAL,20230416,6,8,9,7,-18.0,-0.02899999999999997,0.015000000000000013,0.065,0.03699999999999992,0.04999999999999999,-34,-50,-36,5.1,2.4350000000000005,2.5999999999999996,-0.8999999999999999,-1,-22.0,0,0
20230416HOUTEX,HOU,TEX,20230416,7,8,8,6,-12.0,0.08200000000000002,0.032,0.013000000000000012,0.09499999999999997,-0.01899999999999999,27,13,29,6.280000000000001,1.3889999999999998,-5.4,-1.8000000000000003,0,3.0,0,0
20230416KCAATL,KCA,ATL,20230416,4,11,11,4,-17.0,-0.02699999999999997,-0.02400000000000002,-0.052000000000000046,-0.07800000000000007,-0.028000000000000025,-18,-6,-16,8.620000000000001,3.6879999999999997,-2.8,-10.3,-4,-50.0,-2,0
20230416NYAMIN,NYA,MIN,20230416,9,10,6,5,8.0,0.0030000000000000027,-0.007000000000000006,0.0050000000000000044,0.006999999999999895,0.01200000000000001,-9,-12,11,-0.04999999999999982,-0.8440000000000001,-1.5,1.0999999999999996,0,3.0,-1,1
20230416OAKNYN,OAK,NYN,20230416,3,9,12,6,-41.0,-0.02100000000000002,0.0030000000000000027,0.0,-0.020999999999999908,-0.0030000000000000027,-5,15,-24,-5.58,-4.033,8.4,1.9,-5,-73.0,-2,0
20230416SEACOL,SEA,COL,20230416,7,5,8,10,15.0,-0.0040000000000000036,-0.044999999999999984,-0.014000000000000012,-0.018000000000000016,0.030999999999999972,28,35,22,-1.04,-2.25,8.8,2.1,3,33.0,2,1
20230416TORTBA,TOR,TBA,20230416,10,13,5,2,-47.0,-0.04199999999999998,-0.024999999999999967,-0.18699999999999994,-0.2290000000000001,-0.16199999999999998,32,-2,1,-3.4299999999999997,-1.705,-4.199999999999999,2.1000000000000005,0,-58.0,2,0
20230417CINTBA,CIN,TBA,20230417,6,14,9,2,-58.0,-0.019999999999999962,-0.03199999999999997,-0.17899999999999994,-0.20000000000000007,-0.14699999999999996,-24,6,3,-2.1399999999999997,-1.9290000000000003,7.300000000000001,2.4,-5,-77.0,0,1
20230417COLPIT,COL,PIT,20230417,5,9,11,7,4.0,0.045999999999999985,0.05700000000000002,0.067,0.11299999999999999,0.009999999999999981,27,42,-9,6.24,1.108,0.5,0.0,-2,-22.0,0,0
20230417LANNYN,LAN,NYN,20230417,8,10,8,6,9.0,-0.017000000000000015,0.0020000000000000018,0.065,0.04899999999999993,0.063,-2,39,-13,3.67,3.4949999999999997,-4.4,-1.6999999999999997,-3,6.0,0,0
20230417MIASFN,MIA,SFN,20230417,8,5,8,9,-6.0,-0.017000000000000015,-0.027000000000000024,-0.056999999999999995,-0.07499999999999996,-0.02999999999999997,3,7,1,2.9000000000000004,0.3420000000000001,-2.0999999999999996,1.2999999999999998,3,-20.0,0,1
20230417SDNATL,SDN,ATL,20230417,8,12,9,4,1.0,-0.02300000000000002,-0.024999999999999994,-0.04799999999999999,-0.07199999999999995,-0.022999999999999993,-5,-3,-3,-0.08999999999999986,0.19100000000000028,-0.7000000000000002,2.8,-2,-26.0,2,0
20230417SLNARI,SLN,ARI,20230417,7,9,9,7,-17.0,0.046999999999999986,-0.003999999999999948,0.017000000000000015,0.06399999999999995,0.020999999999999963,26,30,28,1.18,-0.19600000000000062,-1.200000000000001,1.1999999999999993,-1,-5.0,0,0
20230417BOSANA,BOS,ANA,20230417,8,7,8,8,-1.0,-0.056999999999999995,0.008000000000000007,-0.02400000000000002,-0.07999999999999996,-0.03200000000000003,-18,-7,-5,0.48,2.892,-11.6,-5.8,2,-8.0,3,0
20230417HOUTOR,HOU,TOR,20230417,7,10,9,6,-7.0,-0.0050000000000000044,-0.02200000000000002,-0.02899999999999997,-0.03400000000000003,-0.006999999999999951,-20,1,11,-2.87,-0.4790000000000001,-4.0,-0.2999999999999998,-2,7.0,0,1
20230417KCATEX,KCA,TEX,20230417,4,9,12,6,-43.0,-0.034999999999999976,-0.017999999999999988,-0.028000000000000025,-0.06299999999999994,-0.010000000000000037,1,10,3,-0.8700000000000001,-1.2690000000000001,-6.8,1.0,-3,-48.0,-1,0
20230417OAKCHN,OAK,CHN,20230417,3,8,13,6,-36.0,-0.01200000000000001,-0.03300000000000003,-0.07900000000000001,-0.09099999999999997,-0.045999999999999985,-18,9,6,7.049999999999999,5.127999999999999,0.6000000000000005,-5.7,-6,-79.0,0,0
