OBP Difference,AVG Difference,SLG Difference,OPS Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Home Win
0.035,0.083,0.088,0.123,2.35,0.88,-3,-0.2,4,3,0,0
0.033,0.02,0.039,0.071,6.65,3.01,1.3,-3.8,2,38,0,0
0.088,0.106,0.156,0.244,-0.62,1.167,1.1,-0.9,3,-1,0,1
0.028,0.021,0.065,0.093,0.4,-0.698,0.5,0.2,2,13,0,0
0.002,-0.008,-0.056,-0.054,1.32,0.189,-0.2,-1.4,3,32,0,0
0.032,0.026,0.063,0.094,-5.91,-0.76,-1,-2.9,3,28,0,1
-0.013,0.009,0.069,0.057,-2.44,-0.641,1.5,0.1,3,37,-1,1
0.04,0.025,0.046,0.086,6.17,3.5,-2.3,2.2,3,59,0,1
0.018,-0.011,-0.002,0.017,0.94,0.8,2,1.4,0,41,0,0
-0.096,-0.062,-0.089,-0.185,2.83,1.732,-2.9,-3.9,-1,3,0,1
0.07,0.047,0.147,0.217,2.31,1.282,-2,-3.8,4,109,0,1
0.054,0.105,0.144,0.198,-2.53,-3.797,7.6,5.1,1,17,-1,0
0,-0.027,-0.008,-0.008,-4.41,-1.663,0.2,4.4,2,9,0,0
0.065,0.083,0.018,0.083,-3.39,-2.696,2.9,1.7,2,38,0,0
-0.001,0,-0.019,-0.02,3,0.417,-0.5,0,2,28,0,1
0.02,0.024,0.054,0.075,3.8,3.797,-5.1,-2.5,2,30,-1,1
0.025,0.032,0.126,0.151,7.93,4.25,4.2,-3.4,4,41,0,1
-0.001,0.002,0.002,0.001,1.28,1.371,0.9,-2.4,-5,-41,-1,1
0.093,0.017,0.045,0.137,-2.82,-1.834,-0.7,3.4,3,63,0,0
0.021,-0.02,-0.026,-0.005,11.56,5.084,1,0,-2,23,0,0
0.022,0.013,0.107,0.129,6.86,2.485,5.9,-2.2,2,40,0,0
-0.016,-0.036,-0.033,-0.048,6.16,3.776,2.6,-4.6,0,31,0,1
-0.056,-0.033,-0.042,-0.098,7.36,4.3,1,-0.7,-1,9,0,1
0.08,0.063,0.142,0.222,0.45,-0.301,-1.1,-0.1,4,111,0,1
-0.029,-0.064,-0.123,-0.152,6.26,0.592,4.6,-1.3,7,127,0,1
0.022,0.064,0.04,0.062,0.6,-1.463,0.9,3,2,13,0,0
